Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
UPPER PENNAR,11/19/21,1.81,1747,0.65,1.16,11/19/21,775,0,Pennar,Sri Sathya Sai,-
CHAGALLU BALANCING RESERVOIR,11/19/21,0.95,868.7,0.95,0,11/19/21,1500,1500,Pennar,Ananthapuramu,-
Cherlopalli Reservoir,11/19/21,1.61,1964.07,1.44,0.17,11/19/21,1290,0,Pennar,Sri Sathya Sai,-
VAMIKONDA SAGAR RESERVOIR,-,1.6,-,-,1.6,-,-,-,Pennar,Y.S.R Kadapa,-
PATHIKONDA RESERVOIR,-,1.13,-,-,1.13,-,-,-,Krishna,Kurnool,-
SRINIVASAPURAM RESERVOIR (HNSS),-,1.02,-,-,1.02,-,-,-,Pennar,Annamayya,-
NELLORE TANK,-,0.84,-,-,0.84,-,-,-,Pennar,Sri Potti Sriramulu Nellore,-
BUGGAVANKA RESERVOIR,-,0.51,594.55,0.27,0.24,-,-,-,Pennar,Y.S.R Kadapa,-
Marala Reservoir,11/19/21,0.48,1438.81,0.19,0.29,11/19/21,20,0,Pennar,Sri Sathya Sai,-
SANGAM ANICUT / BARRGE,11/19/21,0.45,112.11,0.25,0.2,11/19/21,300056,300056,Other,Sri Potti Sriramulu Nellore,-
PINCHA PROJECT,11/19/21,0.33,979,0.05,0.27,11/19/21,128988,128507,Pennar,Annamayya,-
YELLANUR SR2,-,0.31,-,-,0.31,-,-,-,Pennar,Ananthapuramu,-
THIMMAPURAM SR1,-,0.3,-,-,0.3,-,-,-,Pennar,Y.S.R Kadapa,-
GODDAMVARIPALLI SR3,-,0.3,-,-,0.3,-,-,-,Pennar,Ananthapuramu,-
NELLORE ANICUT,-,0.38,-,-,0.38,-,-,-,Pennar,Sri Potti Sriramulu Nellore,-
KALANGI RESERVOIR,11/19/21,0.24,220.7,0.21,0.03,11/19/21,7000,7560,Other,Tirupati,-
LOWER SAGILERU ANI CUT,-,0.17,508.23,0.03,0.14,-,-,-,Pennar,Y.S.R Kadapa,-
UPPER SAGILERU,-,-,-,-,-,-,-,-,Pennar,Y.S.R Kadapa,-
Donkarayi Reservoir,-,16.51,-,-,16.51,-,-,-,GODAVARI,Alluri Sitharama Raju,-
HIRAMANDALAM RESERVOIR,-,10,-,-,10,-,-,-,Other,Srikakulam,-
PENDEKALLU RESERVOIR,-,0.65,-,-,0.65,-,-,-,Pennar,Ananthapuramu,-
Sileru (Guntawada) Reservoir,-,4.3,-,-,4.3,-,-,-,GODAVARI,Alluri Sitharama Raju,-
TUNGABADRA DAM,11/19/21,105.79,1633,100.86,4.93,11/19/21,32672,32672,Krishna,Vijayanagara(KS),-
COASTAL ANDHRA REGION,-,628.16,-,536.34,91.82,-,-,-,-,-,-
RAYALASEEMA REGION,-,371.9,-,190.88,181.02,-,-,-,-,-,-
TOTAL,-,1105.85,-,828.08,277.77,-,-,-,-,-,-
